YEAR,Actor2CountryCode,QuadClass,GoldsteinScale,Record Count
2004,BGD,3,-16,7
2004,BGD,4,-24,6
2004,BGD,2,0,0
2004,BGR,4,-15,3
2004,BGR,1,0,0
2004,BGR,2,0,0
2004,BGR,3,0,0
2004,BHR,1,0,0
2004,BHR,2,0,0
2004,BHR,3,0,0
2004,BHR,4,0,0
2004,BIH,1,0,0
2004,BIH,2,0,0
2004,BIH,3,0,0
2004,BIH,4,0,0
2004,BLR,4,-60,12
2004,BLR,1,0,0
2004,BLR,2,0,0
2004,BLR,3,0,0
2004,BMU,1,-2,5
2004,BMU,2,0,0
2004,BMU,3,0,0
2004,BMU,4,0,0
2004,BOL,1,0,0
2004,BOL,2,0,0
2004,BOL,3,0,0
2004,BOL,4,0,0
2004,BRA,3,-152.60000000000002,47
2004,BRA,4,-66.5,13
2004,BRA,1,-0.8,2
2004,BRA,2,-10,5
2004,BRN,4,-50,6
2004,BRN,3,-10,5
2004,BRN,1,-1.2000000000000002,3
2004,BRN,2,-10,5
2004,BWA,3,-10,3
2004,BWA,1,-0.8,2
2004,BWA,2,0,0
2004,BWA,4,0,0
2004,CAN,2,-18,9
2004,CAN,4,-212.10000000000002,31
2004,CAN,1,-9.700000000000005,14
2004,CAN,3,-252.80000000000007,62
2004,CHE,3,-40,15
2004,CHE,2,-2,1
2004,CHE,4,-30.2,6
2004,CHE,1,0,0
2004,CHL,3,-29.799999999999997,7
2004,CHL,1,-2.8,7
2004,CHL,2,0,0
2004,CHL,4,0,0
2004,CMR,4,-15,3
2004,CMR,1,0,0
2004,CMR,2,0,0
2004,CMR,3,0,0
2004,COD,1,-0.4,1
2004,COD,2,0,0
2004,COD,3,0,0
2004,COD,4,0,0
2004,COG,3,-2,1
2004,COG,2,-2,1
2004,COG,1,0,0
2004,COG,4,0,0
2004,COL,1,0,0
2004,COL,2,0,0
2004,COL,3,0,0
2004,COL,4,0,0
2004,CRI,1,0,0
2004,CRI,2,0,0
2004,CRI,3,0,0
2004,CRI,4,0,0
2004,CUB,4,-78.5,12
2004,CUB,3,-42,8
2004,CUB,1,-4,2
2004,CUB,2,0,0
2004,CYM,1,0,0
2004,CYM,2,0,0
2004,CYM,3,0,0
2004,CYM,4,0,0
2004,CYP,4,-20,2
2004,CYP,1,0,0
2004,CYP,2,0,0
2004,CYP,3,0,0
2004,CZE,3,-42.5,11
2004,CZE,4,-174,35
2004,CZE,1,-1.7999999999999998,5
2004,CZE,2,0,0
2004,DEU,1,-7.8,22
2004,DEU,4,-518.5999999999999,70
2004,DEU,3,-193.40000000000003,54
2004,DEU,2,0,0
2004,DJI,1,0,0
2004,DJI,2,0,0
2004,DJI,3,0,0
2004,DJI,4,0,0
2004,DNK,3,-23.4,6
2004,DNK,4,-8,1
2004,DNK,1,0,0
2004,DNK,2,0,0
2004,DOM,2,-4,2
2004,DOM,1,0,0
2004,DOM,3,0,0
2004,DOM,4,0,0
2004,DZA,1,-1.2000000000000002,3
2004,DZA,3,-39,9
2004,DZA,2,0,0
2004,DZA,4,0,0
2004,ECU,1,0,0
2004,ECU,2,0,0
2004,ECU,3,0,0
2004,ECU,4,0,0
2004,EGY,3,-19,5
2004,EGY,2,-4,2
2004,EGY,4,-70,8
2004,EGY,1,0,0
2004,ESP,1,-4.3999999999999995,11
2004,ESP,4,-60,6
2004,ESP,3,-68.6,16
2004,ESP,2,0,0
2004,EST,1,0,0
2004,EST,2,0,0
2004,EST,3,0,0
2004,EST,4,0,0
2004,ETH,4,-10,2
2004,ETH,2,-2,1
2004,ETH,1,0,0
2004,ETH,3,0,0
2004,FIN,3,-10.9,2
2004,FIN,4,-31.200000000000003,6
2004,FIN,1,0,0
2004,FIN,2,0,0
2004,FJI,2,-8,4
2004,FJI,3,-2,1
2004,FJI,4,-5,1
2004,FJI,1,0,0
2004,FRA,3,-617.4999999999999,149
2004,FRA,1,-20.200000000000003,27
2004,FRA,4,-644.7,86
2004,FRA,2,-8,4
2004,FSM,1,-0.7,2
2004,FSM,4,-8,1
2004,FSM,2,0,0
2004,FSM,3,0,0
2004,GAB,1,0,0
2004,GAB,2,0,0
2004,GAB,3,0,0
2004,GAB,4,0,0
2004,GBR,4,-850.4000000000002,118
2004,GBR,3,-942.5999999999996,244
2004,GBR,1,-16.200000000000006,41
2004,GBR,2,-50,25
2004,GEO,1,0,0
2004,GEO,2,0,0
2004,GEO,3,0,0
2004,GEO,4,0,0
2004,GHA,1,-2,1
2004,GHA,3,-14,5
2004,GHA,2,0,0
2004,GHA,4,0,0
2004,GIN,2,-4,2
2004,GIN,1,0,0
2004,GIN,3,0,0
2004,GIN,4,0,0
2004,GNB,1,0,0
2004,GNB,2,0,0
2004,GNB,3,0,0
2004,GNB,4,0,0
2004,GRC,4,-19.5,3
2004,GRC,3,-4,2
2004,GRC,1,0,0
2004,GRC,2,0,0
2004,GUY,3,-2,1
2004,GUY,1,-0.8,2
2004,GUY,2,0,0
2004,GUY,4,0,0
2004,HKG,3,-32,7
2004,HKG,1,0,0
2004,HKG,2,0,0
2004,HKG,4,0,0
2004,HND,4,-18,2
2004,HND,1,0,0
2004,HND,2,0,0
2004,HND,3,0,0
2004,HRV,3,-19,5
2004,HRV,4,-22.5,3
2004,HRV,2,-2,1
2004,HRV,1,0,0
2004,HTI,1,-0.8,2
2004,HTI,3,-10,5
2004,HTI,2,0,0
2004,HTI,4,0,0
2004,HUN,3,-4,1
2004,HUN,1,0,0
2004,HUN,2,0,0
2004,HUN,4,0,0
2004,IDN,3,-51.4,15
2004,IDN,4,-302.4,41
2004,IDN,1,-4.800000000000001,4
2004,IDN,2,0,0
2004,IND,1,-2,5
2004,IND,3,-62.099999999999994,18
2004,IND,4,-67,11
2004,IND,2,0,0
2004,IRL,3,-10,2
2004,IRL,4,-43.5,5
2004,IRL,1,0,0
2004,IRL,2,0,0
2004,IRN,1,-0.4,1
2004,IRN,2,-6,3
2004,IRN,3,-112,34
2004,IRN,4,-131,17
2004,IRQ,3,-189.8,50
2004,IRQ,2,-14,7
2004,IRQ,4,-1342.4000000000003,156
2004,IRQ,1,-12.800000000000006,33
2004,ISL,1,0,0
2004,ISL,2,0,0
2004,ISL,3,0,0
2004,ISL,4,0,0
2004,ISR,1,-3.5999999999999996,12
2004,ISR,4,-277.8999999999999,30
2004,ISR,3,-129.60000000000002,42
2004,ISR,2,0,0
2004,ITA,4,-46,7
2004,ITA,2,-10,5
2004,ITA,1,-0.8,2
2004,ITA,3,-41,8
2004,JAM,4,-40,4
2004,JAM,1,0,0
2004,JAM,2,0,0
2004,JAM,3,0,0
2004,JOR,4,-52,9
2004,JOR,1,0,0
2004,JOR,2,0,0
2004,JOR,3,0,0
2004,JPN,4,-5616.099999999997,832
2004,JPN,2,-104,52
2004,JPN,3,-4051.200000000005,1134
2004,JPN,1,-79.69999999999997,207
2004,KAZ,2,-2,1
2004,KAZ,3,-98.4,28
2004,KAZ,4,-8,2
2004,KAZ,1,-6,3
2004,KEN,3,-68.4,15
2004,KEN,1,-0.8,2
2004,KEN,2,-2,1
2004,KEN,4,-87.4,11
2004,KGZ,3,-55.199999999999996,21
2004,KGZ,4,-163,22
2004,KGZ,1,-2,5
2004,KGZ,2,-4,2
2004,KHM,3,-24,7
2004,KHM,4,-192.5,26
2004,KHM,2,-14,7
2004,KHM,1,-2,5
2004,KOR,2,-40,20
2004,KOR,3,-667.3999999999999,202
2004,KOR,1,-29.899999999999984,75
2004,KOR,4,-1730.2000000000003,260
2004,KWT,2,-6,3
2004,KWT,4,-7.2,1
2004,KWT,1,0,0
2004,KWT,3,0,0
2004,LAO,4,-202.5,25
2004,LAO,1,-4.8999999999999995,13
2004,LAO,2,0,0
2004,LAO,3,0,0
2004,LBN,4,-10,1
2004,LBN,1,-2.4,6
2004,LBN,2,0,0
2004,LBN,3,0,0
2004,LBR,4,-8,2
2004,LBR,1,-1.1,3
2004,LBR,3,-13.8,3
2004,LBR,2,0,0
2004,LKA,1,-1.2000000000000002,3
2004,LKA,4,-36,6
2004,LKA,3,-10,5
2004,LKA,2,0,0
2004,LTU,1,0,0
2004,LTU,2,0,0
2004,LTU,3,0,0
2004,LTU,4,0,0
2004,LUX,1,0,0
2004,LUX,2,0,0
2004,LUX,3,0,0
2004,LUX,4,0,0
2004,LVA,1,0,0
2004,LVA,2,0,0
2004,LVA,3,0,0
2004,LVA,4,0,0
2004,MAC,2,-10,5
2004,MAC,1,-0.4,1
2004,MAC,3,-14,4
2004,MAC,4,-79.60000000000001,14
2004,MAR,1,-2.4,6
2004,MAR,4,-19,2
2004,MAR,3,-17.8,5
2004,MAR,2,0,0
2004,MDA,1,0,0
2004,MDA,2,0,0
2004,MDA,3,0,0
2004,MDA,4,0,0
2004,MDG,3,-4.4,1
